Interactie	Interactors	MI
A1CF	ABCC8	0.11751387
A1CF	ABCD4	0.09057609
A1CF	ABHD17C	0.17756414
A1CF	ACSS3	0.10450354
A1CF	ACTBL2	0.12866719
A1CF	ADAMTSL1	0.07994476
A1CF	ADM	0.1260778
A1CF	AFDN	0.1043187
A1CF	AKAP12	0.15085087
A1CF	AMT	0.12357774
A1CF	AP3B2	0.14574834
A1CF	APOL3	0.21582629
A1CF	ATN1	0.12684889
A1CF	BCL7A	0.11041635
A1CF	CAMK2A	0.08025668
A1CF	CCNJL	0.19680787
A1CF	CD28	0.16873057
A1CF	CRLS1	0.0921589
A1CF	CSPP1	0.12183497
A1CF	DCDC2	0.09600695
A1CF	DRD3	0.12252463
A1CF	DUSP3	0.19670927
A1CF	FAM161B	0.08815181
A1CF	FER	0.1191461
A1CF	GLUD1	0.07847439
A1CF	GOLGA7B	0.1375739
A1CF	KDM4B	0.20199846
A1CF	KDM5A	0.12514037
A1CF	KIAA0586	0.13790726
A1CF	KLF11	0.12217771
A1CF	LDB3	0.18293891
A1CF	NUDT14	0.10576755
A1CF	PSPC1	0.09907827
A1CF	RAB3A	0.09219639
A1CF	RNF34	0.22563548
A1CF	SHPRH	0.14197354
A1CF	SHTN1	0.12923053
A1CF	SLC34A1	0.14971969
A1CF	SORBS1	0.18778519
A1CF	TLR4	0.08590221
A1CF	TMEM170B	0.17084997
A1CF	TNC	0.22129466
A1CF	TPD52	0.23486881
A1CF	ZNF560	0.2541504
ABCA5	ABCB8	0.08254276
ABCA5	AFDN	0.08595599
ABCA5	AP3B2	0.13817238
ABCA5	CLEC5A	0.15795847
ABCA5	ENPP3	0.12492348
ABCA5	GOLGA7B	0.16727492
ABCA5	HOXB13	0.08254526
ABCB8	ACKR3	0.2061494
ABCB8	PLEKHA6	0.10148671
ABCC8	SUSD6	0.10344802
