Interactie,Interactors,MI
A1CF,ACTBL2,0.08595599
A1CF,ACVR2B,0.07994476
A1CF,AKAP1,0.09057609
A1CF,AMT,0.09600695
A1CF,ANKS1A,0.08590221
A1CF,APPL1,0.12492348
A1CF,ASB8,0.09057609
A1CF,ATN1,0.15795847
A1CF,CD28,0.12866719
A1CF,CLEC5A,0.09057609
A1CF,CMTM4,0.07994476
A1CF,CORO1A,0.17084997
A1CF,CRLS1,0.21582629
A1CF,CTXN1,0.16727492
A1CF,CX3CL1,0.0921589
A1CF,DACT1,0.09600695
A1CF,DCDC2,0.08815181
A1CF,DUSP2,0.15085087
A1CF,EPM2AIP1,0.21582629
A1CF,EQTN,0.11751387
A1CF,FANCD2,0.1043187
A1CF,FBXW2,0.15085087
A1CF,FER,0.17756414
A1CF,FZD7,0.12684889
A1CF,GOLGA7B,0.14574834
A1CF,HAUS5,0.13790726
A1CF,HES1,0.08025668
A1CF,HIVEP3,0.08254526
A1CF,HYOU1,0.09907827
A1CF,INPP5D,0.08254276
A1CF,KCNS3,0.17084997
A1CF,KCTD15,0.08025668
A1CF,KDM4B,0.16727492
A1CF,KDM5A,0.17756414
A1CF,KIAA0930,0.08254276
A1CF,KLHL26,0.12183497
A1CF,KMT2D,0.08025668
A1CF,KRTAP12-2,0.10576755
A1CF,LCMT2,0.15085087
A1CF,LIF,0.12514037
A1CF,NIPAL4,0.14197354
A1CF,NIPAL4,0.08815181
A1CF,NNT,0.08025668
A1CF,NUDT6,0.15085087
A1CF,PARP2,0.12357774
A1CF,PDK1,0.11751387
A1CF,PLEKHA2,0.08590221
A1CF,PLEKHA6,0.22563548
A1CF,PMEPA1,0.09907827
A1CF,PPM1E,0.12684889
A1CF,PRICKLE2,0.08595599
A1CF,RCHY1,0.14574834
A1CF,RESP18,0.22563548
A1CF,SERPINE1,0.12357774
A1CF,SH3GLB2,0.12217771
A1CF,SHANK2,0.13817238
A1CF,SLC30A1,0.22563548
A1CF,SMCO4,0.07994476
A1CF,SNAPC4,0.09907827
A1CF,SNAPC4,0.14574834
A1CF,SRBD1,0.12514037
A1CF,SUSD6,0.12183497
A1CF,SYP,0.22563548
A1CF,TACC2,0.15085087
A1CF,TMEM53,0.15795847
A1CF,TNC,0.1043187
A1CF,TPD52,0.09219639
