Interactie,Interactors,MI
A1CF,ABCA5,0.23486881
A1CF,ABCD4,0.17756414
A1CF,ADM,0.15085087
A1CF,AFDN,0.21582629
A1CF,AKT1S1,0.09219639
A1CF,AMOTL2,0.11041635
A1CF,AMT,0.09057609
A1CF,AMT,0.09219639
A1CF,ANKS1A,0.11751387
A1CF,APBB2,0.12492348
A1CF,APOL3,0.13817238
A1CF,APPL1,0.10450354
A1CF,ARMC8,0.23486881
A1CF,ASB8,0.17084997
A1CF,BACE1,0.17084997
A1CF,BRF1,0.12514037
A1CF,BTG2,0.09057609
A1CF,CASTOR2,0.17084997
A1CF,CCDC90B,0.09219639
A1CF,CD28,0.09057609
A1CF,COL3A1,0.1375739
A1CF,COL7A1,0.08254526
A1CF,CRLS1,0.0921589
A1CF,CXCR1,0.1375739
A1CF,DACT1,0.12684889
A1CF,DENND2D,0.11751387
A1CF,DSCC1,0.1043187
A1CF,DUSP2,0.18778519
A1CF,DUSP3,0.17084997
A1CF,EDAR,0.16727492
A1CF,ENPP3,0.10344802
A1CF,EPB41L3,0.15085087
A1CF,EPHB1,0.10576755
A1CF,EPM2AIP1,0.21582629
A1CF,EPM2AIP1,0.07994476
A1CF,ERBB3,0.08254276
A1CF,ETF1,0.0921589
A1CF,F3,0.08590221
A1CF,FAM161B,0.11751387
A1CF,FBXW2,0.08595599
A1CF,GLUD1,0.1375739
A1CF,GMFG,0.23486881
A1CF,HES1,0.12183497
A1CF,HES1,0.08254276
A1CF,HIVEP3,0.2061494
A1CF,HOXC6,0.14574834
A1CF,ID1,0.1043187
A1CF,INPP5D,0.08815181
A1CF,KDM4B,0.0921589
A1CF,KIFC3,0.18293891
A1CF,KLF11,0.1375739
A1CF,KMT2D,0.08595599
A1CF,LCMT2,0.12866719
A1CF,LDB3,0.2541504
A1CF,MYO10,0.09219639
A1CF,NAIP,0.08025668
A1CF,NIPAL4,0.17756414
A1CF,NIPAL4,0.12357774
A1CF,NNT,0.12684889
A1CF,NUDT14,0.2541504
A1CF,NUDT6,0.09057609
A1CF,PLEKHA2,0.1043187
A1CF,PMEPA1,0.12492348
A1CF,PMEPA1,0.15795847
A1CF,PPM1E,0.0921589
A1CF,PRICKLE2,0.0921589
A1CF,PSPC1,0.12183497
A1CF,PXDC1,0.08254526
A1CF,RAB3A,0.07847439
A1CF,RND2,0.16727492
A1CF,RNF34,0.11041635
A1CF,SAV1,0.08595599
A1CF,SHANK2,0.08254526
A1CF,SHPRH,0.19670927
A1CF,SHTN1,0.19670927
A1CF,SLC34A1,0.17756414
A1CF,SLC7A1,0.09057609
A1CF,SMYD4,0.13817238
A1CF,SPEN,0.16727492
A1CF,SRBD1,0.13817238
A1CF,STAG3,0.15795847
A1CF,SUSD6,0.16727492
A1CF,TCN2,0.08254526
A1CF,TLR4,0.12217771
A1CF,TNC,0.14197354
A1CF,TPD52,0.09600695
A1CF,TPD52,0.16727492
A1CF,TPP1,0.23486881
A1CF,TRIM10,0.15085087
A1CF,TRUB1,0.10344802
A1CF,TSC22D1,0.09057609
A1CF,WDR62,0.0921589
A1CF,WIZ,0.12357774
A1CF,ZNF260,0.23486881
A1CF,ZNF33A,0.07847439
A1CF,ZNF385A,0.16873057
A1CF,ZNF436,0.10450354
A1CF,ZNF496,0.09057609
ABCA5,A1CF,0.23486881
ABCA5,ABCD4,0.2061494
ABCA5,ABHD17C,0.08590221
ABCA5,ACSS3,0.07847439
ABCA5,ADAMTSL1,0.09600695
ABCA5,ADM,0.17084997
ABCA5,AFDN,0.23486881
ABCA5,AKAP1,0.08815181
ABCA5,AMOTL2,0.08254526
ABCA5,AMT,0.09907827
ABCA5,ANKS1A,0.1375739
ABCA5,AP3B2,0.0921589
ABCA5,APBB2,0.12357774
ABCA5,APOL3,0.12866719
ABCA5,APPL1,0.10148671
ABCA5,ARMC8,0.2541504
ABCA5,ASB8,0.14574834
ABCA5,BACE1,0.15085087
ABCA5,BRF1,0.10450354
ABCA5,CASTOR2,0.14197354
ABCA5,CCDC90B,0.11041635
ABCA5,CD28,0.12217771
ABCA5,COL3A1,0.14197354
ABCA5,COL7A1,0.08595599
ABCA5,CXCR1,0.11751387
ABCA5,DACT1,0.10576755
ABCA5,DENND2D,0.1375739
ABCA5,DSCC1,0.10576755
ABCA5,DUSP2,0.16873057
ABCA5,DUSP3,0.14197354
ABCA5,EDAR,0.19680787
ABCA5,ENPP3,0.12357774
ABCA5,EPB41L3,0.17084997
ABCA5,EPHB1,0.1043187
ABCA5,EPM2AIP1,0.23486881
ABCA5,EPM2AIP1,0.08025668
ABCA5,EQTN,0.08590221
ABCA5,ERBB3,0.07847439
ABCA5,FAM161B,0.1375739
ABCA5,FBXW2,0.08254526
ABCA5,GLUD1,0.14197354
ABCA5,GMFG,0.2541504
ABCA5,HES1,0.14197354
ABCA5,HES1,0.07847439
ABCA5,HIVEP3,0.22563548
ABCA5,HOXB13,0.08025668
ABCA5,HOXC6,0.1260778
ABCA5,HYOU1,0.08590221
ABCA5,ID1,0.10344802
ABCA5,INPP5D,0.09907827
ABCA5,KIFC3,0.20199846
ABCA5,KLF11,0.14197354
ABCA5,LCMT2,0.15795847
ABCA5,LDB3,0.23486881
ABCA5,MTG2,0.07994476
ABCA5,MYO10,0.09907827
ABCA5,NAIP,0.07994476
ABCA5,NIPAL4,0.19670927
ABCA5,NIPAL4,0.10344802
ABCA5,NNT,0.12492348
ABCA5,NUDT14,0.23486881
ABCA5,P2RX2,0.07994476
ABCA5,PDK1,0.07994476
ABCA5,PLEKHA2,0.10576755
ABCA5,PMEPA1,0.12684889
ABCA5,PMEPA1,0.12866719
ABCA5,PRICKLE2,0.07847439
ABCA5,PSPC1,0.15085087
ABCA5,PXDC1,0.11041635
ABCA5,RAB3A,0.08254276
ABCA5,RND2,0.19680787
ABCA5,RNF34,0.09219639
ABCA5,RRNAD1,0.08590221
ABCA5,SHANK2,0.11041635
ABCA5,SHPRH,0.22563548
ABCA5,SHTN1,0.17756414
ABCA5,SLC34A1,0.19670927
ABCA5,SLC7A1,0.08590221
ABCA5,SMYD4,0.16727492
ABCA5,SNAPC4,0.09057609
ABCA5,SPEN,0.13817238
ABCA5,SRBD1,0.16727492
ABCA5,SRC,0.07847439
ABCA5,STAG3,0.12866719
ABCA5,SUSD6,0.15795847
ABCA5,TLR4,0.09057609
ABCA5,TMEM25,0.07847439
ABCA5,TNC,0.1375739
ABCA5,TPD52,0.19680787
ABCA5,TPP1,0.2541504
ABCA5,TRIM10,0.17084997
ABCA5,TRUB1,0.1043187
ABCA5,TSC22D1,0.08590221
ABCA5,TUBGCP3,0.09219639
ABCA5,WDR62,0.07847439
ABCA5,WIZ,0.10344802
ABCA5,XPO1,0.08254276
ABCA5,ZNF260,0.2541504
ABCA5,ZNF33A,0.0921589
ABCA5,ZNF385A,0.18778519
ABCA5,ZNF436,0.12514037
ABCA5,ZNF496,0.12217771
ABCB8,ABHD17C,0.07994476
ABCB8,ACVR2B,0.09600695
ABCB8,ADM,0.11751387
ABCB8,AMOTL2,0.17756414
ABCB8,AMT,0.12514037
ABCB8,ANKRD36B,0.10450354
ABCB8,APBB2,0.09219639
ABCB8,BACE1,0.12183497
ABCB8,BCL7A,0.1375739
ABCB8,BRF1,0.08254276
ABCB8,CBX6,0.1375739
ABCB8,CCNJL,0.08595599
ABCB8,CD8A,0.16727492
ABCB8,CD8A,0.10450354
ABCB8,CMTM4,0.23486881
ABCB8,COLCA1,0.07847439
ABCB8,CORO1A,0.22563548
ABCB8,CRLS1,0.21582629
ABCB8,CTXN1,0.11751387
ABCB8,CXCR1,0.09219639
ABCB8,CYFIP2,0.12357774
ABCB8,DACT1,0.09057609
ABCB8,DCDC2,0.10344802
ABCB8,DENND2D,0.08595599
ABCB8,EDC4,0.10576755
ABCB8,ENPP3,0.12866719
ABCB8,EPAS1,0.22563548
ABCB8,EPB41L3,0.12866719
ABCB8,EPHB1,0.08254526
ABCB8,EPM2AIP1,0.09219639
ABCB8,EQTN,0.07994476
ABCB8,ETF1,0.21582629
ABCB8,FAM161B,0.08595599
ABCB8,FAM170A,0.09907827
ABCB8,FER,0.08815181
ABCB8,FZD7,0.08025668
ABCB8,GOLGA7B,0.14574834
ABCB8,HAUS5,0.1260778
ABCB8,HES1,0.1375739
ABCB8,HOXC6,0.12866719
ABCB8,HYKK,0.16727492
ABCB8,ICAM4,0.12514037
ABCB8,ID1,0.11041635
ABCB8,JAZF1,0.12492348
ABCB8,KCNS3,0.1375739
ABCB8,KCTD15,0.10450354
ABCB8,KDM4B,0.12183497
ABCB8,KIAA0586,0.08025668
ABCB8,KIAA0930,0.10344802
ABCB8,KLHL26,0.11751387
ABCB8,KRTAP12-2,0.08595599
ABCB8,LIF,0.1260778
ABCB8,MAFG,0.1043187
ABCB8,NEO1,0.08595599
ABCB8,NIPAL4,0.13817238
ABCB8,NUDT6,0.12514037
ABCB8,PDK1,0.07994476
ABCB8,PLEKHA6,0.14574834
ABCB8,PMM2,0.10450354
ABCB8,PXDC1,0.13817238
ABCB8,RELL2,0.09219639
ABCB8,RRNAD1,0.07994476
ABCB8,SCARA5,0.14574834
ABCB8,SECTM1,0.16727492
ABCB8,SHANK2,0.13817238
ABCB8,SIX1,0.14574834
ABCB8,SIX5,0.1260778
ABCB8,SLC15A1,0.0921589
ABCB8,SLC30A1,0.2541504
ABCB8,SLC7A1,0.10148671
ABCB8,SMCO4,0.08595599
ABCB8,SNAPC4,0.10450354
ABCB8,SNAPC4,0.09057609
ABCB8,SORBS1,0.14197354
ABCB8,SORBS1,0.08595599
ABCB8,SRC,0.09057609
ABCB8,SYP,0.12217771
ABCB8,TCN2,0.16873057
ABCB8,TMEM170B,0.14197354
ABCB8,TPD52,0.08254276
ABCB8,TRIM10,0.11751387
ABCB8,TRUB1,0.0921589
ABCB8,TSC22D1,0.10148671
ABCB8,TXNIP,0.1260778
ABCB8,VSTM1,0.13790726
ABCB8,VWA5A,0.08254526
ABCB8,WIZ,0.13817238
ABCB8,ZFPM1,0.22563548
ABCB8,ZFYVE27,0.08025668
ABCB8,ZNF436,0.18778519
ABCB8,ZNF469,0.12183497
ABCB8,ZNF560,0.08025668
ABCB8,ZNF71,0.12492348
ABCC8,ABHD17C,0.1043187
ABCC8,ACKR3,0.10148671
ABCC8,ADAMTSL1,0.10344802
ABCC8,AKAP12,0.10576755
ABCC8,AKT1S1,0.10450354
ABCC8,AMOTL2,0.08254276
ABCC8,ANKRD36B,0.08815181
ABCC8,ANKRD44,0.23486881
ABCC8,AP3B2,0.07847439
ABCC8,APBB2,0.16727492
ABCC8,ASB8,0.09219639
ABCC8,ATN1,0.12252463
ABCC8,BCL7A,0.08595599
ABCC8,CAMK2A,0.20199846
ABCC8,CASTOR2,0.07994476
ABCC8,CBX6,0.08595599
ABCC8,CCDC90B,0.19670927
ABCC8,CCNJL,0.11751387
ABCC8,CD28,0.09219639
ABCC8,CD8A,0.08815181
ABCC8,CDC20B,0.11751387
ABCC8,CLEC5A,0.14574834
ABCC8,COL3A1,0.17084997
ABCC8,CPEB3,0.10450354
ABCC8,CTXN1,0.09219639
ABCC8,CYFIP2,0.12183497
ABCC8,DCDC2,0.19670927
ABCC8,DRD3,0.12514037
ABCC8,DSCC1,0.09600695
ABCC8,DUSP3,0.07994476
ABCC8,EDC4,0.12183497
ABCC8,EPHB1,0.16727492
ABCC8,EQTN,0.1043187
ABCC8,ERBB3,0.12183497
ABCC8,F3,0.09600695
ABCC8,FBXW2,0.18778519
ABCC8,FER,0.08025668
ABCC8,FZD7,0.12492348
ABCC8,GCNT1,0.07994476
ABCC8,GLUD1,0.17084997
ABCC8,GOLGA7B,0.15795847
ABCC8,HAUS5,0.09600695
ABCC8,HES1,0.12183497
ABCC8,ICAM4,0.09057609
ABCC8,ID1,0.13790726
ABCC8,IPPK,0.10576755
ABCC8,JAZF1,0.1375739
ABCC8,KCNJ5,0.07994476
ABCC8,KCTD15,0.08815181
ABCC8,KDM4B,0.09907827
ABCC8,KDM5A,0.15085087
ABCC8,KIAA0930,0.19670927
ABCC8,KIF2C,0.14574834
ABCC8,KLF11,0.17084997
ABCC8,KMT2D,0.12923053
ABCC8,KRTAP12-2,0.11751387
ABCC8,MAFG,0.14197354
ABCC8,NAIP,0.08025668
ABCC8,NEO1,0.07994476
ABCC8,NNT,0.19680787
ABCC8,PIGA,0.12252463
ABCC8,PLEKHA2,0.09600695
ABCC8,PMEPA1,0.12217771
ABCC8,PMM2,0.12217771
ABCC8,PSPC1,0.13817238
ABCC8,RRNAD1,0.1043187
ABCC8,SAV1,0.12923053
ABCC8,SHPRH,0.09057609
ABCC8,SIX1,0.15795847
ABCC8,SLC7A1,0.0921589
ABCC8,SMCO4,0.11751387
ABCC8,SMYD4,0.08254276
ABCC8,SNAPC4,0.12217771
ABCC8,SORBS1,0.11751387
ABCC8,SRBD1,0.08254276
ABCC8,TACC2,0.08254276
ABCC8,TLR4,0.08254276
ABCC8,TMEM2,0.12252463
ABCC8,TNC,0.11041635
ABCC8,TRPS1,0.12357774
ABCC8,TSC22D1,0.0921589
ABCC8,VSTM1,0.08025668
ABCC8,VWA5A,0.17756414
ABCC8,ZFYVE27,0.1043187
ABCC8,ZNF181,0.11041635
ABCC8,ZNF33A,0.23486881
ABCC8,ZNF496,0.09219639
ABCC8,ZNF512,0.10344802
ABCC8,ZNF516,0.08254276
ABCC8,ZNF560,0.12492348
ABCC8,ZNF71,0.1375739
ABCD4,A1CF,0.17756414
ABCD4,ABCA5,0.2061494
ABCD4,ACTBL2,0.09907827
ABCD4,ACVR2B,0.08254276
ABCD4,ADAMTSL1,0.0921589
ABCD4,ADM,0.08254526
ABCD4,AFDN,0.22563548
ABCD4,AKAP1,0.08815181
ABCD4,ANKS1A,0.09600695
ABCD4,AP3B2,0.09219639
ABCD4,APBB2,0.1260778
ABCD4,APOL3,0.16727492
ABCD4,APPL1,0.12684889
ABCD4,ARMC8,0.2061494
ABCD4,ASB8,0.10344802
ABCD4,ATN1,0.08254276
ABCD4,B4GALT1,0.1043187
ABCD4,BTG2,0.08590221
ABCD4,CASTOR2,0.11751387
ABCD4,CCDC90B,0.14574834
ABCD4,CD28,0.14197354
ABCD4,COL3A1,0.10450354
ABCD4,CSPP1,0.08025668
ABCD4,DENND2D,0.09219639
ABCD4,DSCC1,0.12252463
ABCD4,DUSP2,0.13790726
ABCD4,DUSP3,0.11751387
ABCD4,EDAR,0.19670927
ABCD4,EPB41L3,0.09057609
ABCD4,EPHB1,0.1375739
ABCD4,EPM2AIP1,0.22563548
ABCD4,ERBB3,0.12252463
ABCD4,FAM161B,0.09219639
ABCD4,FBXW2,0.1260778
ABCD4,GLUD1,0.10450354
ABCD4,GMFG,0.2061494
ABCD4,GOLGA7B,0.08590221
ABCD4,HES1,0.08595599
ABCD4,HES1,0.12252463
ABCD4,HIVEP3,0.16727492
ABCD4,HOXB13,0.12492348
ABCD4,HYOU1,0.14574834
ABCD4,ID1,0.14574834
ABCD4,INPP5D,0.07847439
ABCD4,IP6K1,0.08025668
ABCD4,KCNS3,0.0921589
ABCD4,KIFC3,0.17084997
ABCD4,KLF11,0.10450354
ABCD4,LCMT2,0.19670927
ABCD4,LDB3,0.17756414
ABCD4,MTG2,0.12684889
ABCD4,NAIP,0.08815181
ABCD4,NIPAL4,0.15795847
ABCD4,NNT,0.11751387
ABCD4,NUDT14,0.17756414
ABCD4,P2RX2,0.12684889
ABCD4,PARP2,0.12357774
ABCD4,PLEKHA2,0.12252463
ABCD4,PMEPA1,0.10148671
ABCD4,PMEPA1,0.12866719
ABCD4,PSPC1,0.22129466
ABCD4,RND2,0.19670927
ABCD4,SHPRH,0.23486881
ABCD4,SHTN1,0.16727492
ABCD4,SIX1,0.08590221
ABCD4,SLC15A1,0.09057609
ABCD4,SLC34A1,0.19680787
ABCD4,SMYD4,0.18778519
ABCD4,SNAPC4,0.17084997
ABCD4,SORBS1,0.14971969
ABCD4,SPEN,0.1191461
ABCD4,SRBD1,0.18778519
ABCD4,SRC,0.09907827
ABCD4,STAG3,0.12866719
ABCD4,SUSD6,0.13790726
ABCD4,SYP,0.07847439
ABCD4,TACC2,0.08595599
ABCD4,TMEM170B,0.14971969
ABCD4,TMEM2,0.08254276
ABCD4,TNC,0.1043187
ABCD4,TPD52,0.19670927
ABCD4,TPP1,0.2061494
